Table 1
MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Zip or Postal Code,Location,Missing,Link,First Published,Last Update
273914,2,Forging a Community,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24151,-94.42249,,Liberty,,Clay County,Missouri,64068,"It is on West Shrader St west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=273914,5/29/2025,5/29/2025
274063,3,Veterans,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24183,-94.42249,235 W Shrader St,Liberty,,Clay County,Missouri,64068,"It can be reached from West Shrader Street west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=274063,6/2/2025,6/2/2025
274075,4,Business Owners,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24182,-94.42244,235 W Shrader St,Liberty,,Clay County,Missouri,64068,"It can be reached from West Shrader Street west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=274075,6/2/2025,6/2/2025
274238,,Liberty Juneteenth,,,1993,Liberty Juneteenth Committee,39.24988,-94.42347,428 Grover St,Liberty,,Clay County,Missouri,64068,"It is on Grover Street south of Corbin Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=274238,6/1/2025,6/1/2025
274429,5,Antebellum Era,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24189,-94.42246,235 W Shrader St,Liberty,,Clay County,Missouri,64068,"It can be reached from West Shrader Street west of Gallatin Strret, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=274429,6/4/2025,6/4/2025
274433,6,Pioneer Families,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24206,-94.42258,235 W Shrader St,Liberty,,Clay County,Missouri,64068,"It is on West Shrader Street west of Gallatin Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=274433,6/4/2025,6/4/2025
274544,7,"Reconstruction, Great Migration and Civil Rights Eras",Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24184,-94.42238,235 W Shrader St,Liberty,,Clay County,Missouri,64068,"It is on West Shrader Street west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=274544,6/4/2025,6/4/2025
274675,8,Teachers and Educators,Liberty African American Legacy Memorial,,2022,"Clay County African American Legacy, Inc",39.24187,-94.42244,235 West Shrader Street,Liberty,,Clay County,Missouri,64068,"It is on West Shrader Street west of Gallatin Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=274675,6/27/2025,6/27/2025
281393,,World War II POW Camp,,,2025,"City of Liberty, Missouri",39.20599,-94.38340,,Liberty,,Clay County,Missouri,64068,It can be reached from Old State Highway 210 1.3 miles east of Missouri State Route 291 (State Route 291).,,https://www.hmdb.org/m.asp?m=281393,8/13/2025,3/3/2026
281468,,Ruth Ewing,,,2025,"City of Liberty, Missouri",39.21590,-94.40410,1155 E Ruth Ewing Road,Liberty,,Clay County,Missouri,64068,"It is at the intersection of Ruth Ewing Road and Clay Brooke Drive, on the left when traveling east on Ruth Ewing Road. ",,https://www.hmdb.org/m.asp?m=281468,8/15/2025,8/15/2025
281872,,Clay County's Roll of Honor,,,2022,"Alexander Doniphan Chapter, NSDAR",39.24602,-94.41743,301 East Kansas Street,Liberty,,Clay County,Missouri,64068,"It is at the intersection of East Kansas Street and South Leonard Street, on the right when traveling east on East Kansas Street. ",,https://www.hmdb.org/m.asp?m=281872,8/18/2025,8/18/2025
281904,,In Celebration of America's 250th,,,2024,"William C Corum Chapter, NSSAR and Alexander Doniphan Chapter, NSDAR",39.24889,-94.42367,401 Grover Street,Liberty,,Clay County,Missouri,64068,"It is on Grover Street north of West Mississippi Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=281904,9/5/2025,9/5/2025
284431,,Martha Lafite Thompson Nature Sanctuary,McGowan Interurban Railway Bridge and Passenger Station,Interurban RR Trail,2025,"Liberty Parks & Rec, City of Liberty, Missouri.",39.24927,-94.39474,407 N La Frenz Rd,Liberty,,Clay County,Missouri,64068,"It can be reached from North La Frenz Road north of Mary Lane, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=284431,9/29/2025,9/29/2025
287047,,Sesquicentennial Celebration Time Capsule,Smithville 150,Est. 1867,2017,City of Smithville,39.38721,-94.58121,107 West Main Street,Smithville,,Clay County,Missouri,64089,"It is on Main Street west of Bridge Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=287047,10/25/2025,10/25/2025
287056,,9/11 Remembrance Rail,,,2018,Jim Nelson American Legion Post 58 and City of Smithville,39.38725,-94.58024,118 North Commercial Avenue,Smithville,,Clay County,Missouri,64089,"It is on Main Street east of Bridge Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=287056,10/25/2025,10/25/2025
287061,,Smithville High School Flagpole,Fourth of July 1985,,1985,Kiwanis Club of Smithville,39.38723,-94.58071,,Smithville,,Clay County,Missouri,64089,"It is at the intersection of Main Street and Bridge Street, on the left when traveling east on Main Street. ",,https://www.hmdb.org/m.asp?m=287061,10/25/2025,10/25/2025
287063,,Veterans Memorial,Guardians of Liberty,Let Us Pause And Remember,2007,Smithville Mayor and Mrs. Chuck Hitchborn,39.38725,-94.58127,107 West Main Street,Smithville,,Clay County,Missouri,64089,"It is on Main Street west of Bridge Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=287063,10/25/2025,10/25/2025
287064,,Purple Heart Memorial,Combat Wounded Veterans,,2007,Smithville Mayor and Mrs. Chuck Hitchborn,39.38726,-94.58124,107 West Main Street,Smithville,,Clay County,Missouri,64089,"It is on Main Street west of Bridge Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=287064,10/25/2025,10/25/2025
287065,,War Memorial,,,,"Smithville's ""Proud to be an American"" Support Group, Smithville's Residents, Friends, and Businesses",39.38721,-94.58110,107 West Main Street,Smithville,,Clay County,Missouri,64089,"It is at the intersection of Main Street and Bridge Street, on the right when traveling west on Main Street. ",,https://www.hmdb.org/m.asp?m=287065,10/25/2025,10/25/2025
287082,,Flood of 1965 High Water Mark,,,,,39.38732,-94.58097,104 North Bridge Street,Smithville,,Clay County,Missouri,64089,"It is on Bridge Street north of Main Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=287082,10/26/2025,10/26/2025
287111,,World Wars Memorial,For God And Country,,1950,Community American Legion Post No. 58 and Auxiliary,39.39247,-94.58481,126 US Hwy 169,Smithville,,Clay County,Missouri,64089,"It is on U.S. 169, on the left when traveling north.",,https://www.hmdb.org/m.asp?m=287111,10/26/2025,10/26/2025
287113,,"Quincy, Omaha & Kansas City Railroad Caboose #3",Quincy Route,,,City of Smithville and Concerned Citizens and Organizations,39.38727,-94.57774,,Smithville,,Clay County,Missouri,64089,"It is on Main Street (County Road DD) east of Smith Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=287113,10/26/2025,10/26/2025
287126,,Howard Porter,"October 1, 1916 • March 9, 1945",,1993,Howard Porter Veterans of Foreign Wars Post #5717,39.37265,-94.36541,301 West Washington Street,Kearney,,Clay County,Missouri,64060,"It is at the intersection of Washington Street and Clark Street, on the left when traveling west on Washington Street. ",,https://www.hmdb.org/m.asp?m=287126,10/26/2025,10/26/2025
287134,,Matthew David Mason CPO,"March 26, 1974 - August 6, 2011",U.S. Navy (Seal Team Six),2012,the Mason Family,39.37270,-94.36222,101 South Jefferson Street,Kearney,,Clay County,Missouri,64060,"It is at the intersection of Jefferson Street (State Highway 33) and Washington Street, on the left when traveling south on Jefferson Street.",,https://www.hmdb.org/m.asp?m=287134,10/26/2025,10/26/2025
287157,,Welcome to Mount Olivet Cemetery,,,2025,Kearney First Baptist Church,39.36743,-94.36424,201 Missouri Route 92,Kearney,,Clay County,Missouri,64060,It can be reached from State Route 92.,,https://www.hmdb.org/m.asp?m=287157,10/26/2025,10/26/2025
290313,,William Lawrence Smith,,,2025,"The Family of William Lawrence Smith & Liberty, MO Parks & Rec",39.24969,-94.42331,401 Grover Street,Liberty,Garrison District,Clay County,Missouri,64068,"It can be reached from Grover St. north of West Mississippi Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=290313,12/18/2025,12/18/2025
